AÑO,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94
1991,3.16302228,6.205263138,22.63658524,20.69637299,23.87590408,24.40502357,28.84565163,27.22483063,27.92740059,49.81525421,25.20970726,22.63658524,40.143013,31.14456177,83.05981445,65.73066711,31.14456177,80.48062134,22.65623283,22.65623283,35.70265579,35.70265579,41.21994781,99.70298004,83.05981445,53.45615005,56.81707382,54.27709198,3.551176548,3.241310835,2.101755619,3.16302228,2.605251312,4.633285046,5.640851974,16.82923317,7.514064312,6.205263138,14.27491093,11.18147659,18.33652115,40.93044662,18.56150246,11.62190056,33.28051376,22.40989685,27.65419769,27.22483063,28.84565163,20.69637299,22.65623283,24.40502357,22.63658524,38.94353867,26.29494858,23.87590408,37.42282486,38.64149857,31.14456177,29.87784195,25.20970726,29.13478088,40.143013,27.92740059,51.60053635,45.25145721,49.81525421,80.48062134,64.46367645,34.97615814,27.3416214,52.96972656,51.39693069,62.18776321,39.93735886,40.41832733,68.93952942,83.05981445,65.73066711,38.06314468,98.0943222,114.9196701,53.45615005,92.77950287,99.70298004,36.24962234,37.56304169,65.4046402,56.81707382,82.24299622,35.70265579,56.83931732,41.21994781,54.27709198
1992,15.91912746,25.96729279,81.89526367,77.64225769,115.7752457,125.4056931,74.77067566,73.99202728,298.9837952,92.9863205,94.40045929,81.89526367,148.3421478,95.88903809,141.0865173,164.274704,95.88903809,173.0843048,106.7607803,106.7607803,79.11328888,79.11328888,121.4747696,203.5687866,141.0865173,145.5610657,230.5005493,74.13706207,26.49760437,12.97763538,11.09389877,15.91912746,12.34567833,43.52334976,49.37454224,111.626358,20.3692379,25.96729279,39.2339859,57.58901596,84.79023743,105.7103424,36.71100235,29.49193382,102.6569138,56.39277649,79.93302155,73.99202728,74.77067566,77.64225769,106.7607803,125.4056931,81.89526367,137.3062439,97.45944977,115.7752457,170.4904022,166.1058044,95.88903809,76.83588409,94.40045929,116.4790115,148.3421478,298.9837952,343.5829163,230.6837463,92.9863205,173.0843048,203.9092865,199.1652832,280.938385,312.2947693,233.2642212,213.9829254,145.5265961,169.7168732,195.5310059,141.0865173,164.274704,164.9961853,232.7190704,193.6831207,145.5610657,235.4812164,203.5687866,87.37901306,105.2447815,79.98690033,230.5005493,165.2363892,79.11328888,151.5703583,121.4747696,74.13706207
1993,13.79292679,11.49447536,31.70975113,51.53861618,63.62285233,58.68547058,37.32903671,37.39341354,83.60437012,41.28172302,46.17215729,31.70975113,76.00318146,30.64709091,61.16764069,90.67205811,30.64709091,80.95040131,49.07671356,49.07671356,37.12988663,37.12988663,59.5021019,94.68030548,61.16764069,113.2929077,149.7245483,73.70323181,8.921636581,9.572096825,10.38302231,13.79292679,11.43716431,21.99650192,30.408741,40.59396744,10.71362209,11.49447536,28.07837105,27.46221924,28.97995377,47.32338333,11.3011322,14.22798824,33.14499664,25.77827644,37.58401108,37.39341354,37.32903671,51.53861618,49.07671356,58.68547058,31.70975113,55.63285446,44.67050934,63.62285233,54.41801453,54.05976486,30.64709091,33.20272446,46.17215729,60.52313232,76.00318146,83.60437012,73.15457916,61.67290497,41.28172302,80.95040131,65.384552,71.79122162,53.40457916,51.36765671,48.3809967,87.44245911,86.36455536,79.79301453,44.34125137,61.16764069,90.67205811,91.61650848,72.60793304,55.13696289,113.2929077,101.835968,94.68030548,54.6276207,37.60592651,128.9619141,149.7245483,63.9389534,37.12988663,85.17819977,59.5021019,73.70323181
1994,7.755337715,12.18042946,57.58384705,52.23571396,131.7951813,84.37841034,45.61314392,38.76485062,117.6708298,29.37955284,39.63330841,57.58384705,51.79686356,44.48923111,178.1510468,191.7679596,44.48923111,48.88438034,34.43495178,34.43495178,21.02921486,21.02921486,31.96422195,206.3096466,178.1510468,32.62327194,37.47219086,50.0691452,6.713899612,5.991814137,6.952967644,7.755337715,9.684804916,11.11445141,19.15827179,63.06908417,5.160199165,12.18042946,25.02215385,21.92691231,43.02129364,108.1540298,7.223608017,9.270494461,28.13640404,27.33159447,37.94659805,38.76485062,45.61314392,52.23571396,34.43495178,84.37841034,57.58384705,136.2887268,39.10314178,131.7951813,75.72135925,157.6822357,44.48923111,30.64403343,39.63330841,57.00251007,51.79686356,117.6708298,161.1307831,116.7346191,29.37955284,48.88438034,150.5039978,126.705307,71.11476135,128.0235138,141.3164215,202.9551086,166.9058075,153.7746277,103.5556412,178.1510468,191.7679596,174.5258636,158.1444702,119.7596512,32.62327194,79.49095917,206.3096466,41.65664673,32.95165634,43.99322128,37.47219086,133.5797424,21.02921486,37.03074646,31.96422195,50.0691452
1995,5.539173603,16.63626099,16.09913826,21.67781639,29.37763214,19.40006447,22.0473175,13.93397713,28.87124443,15.78608704,22.56581116,16.09913826,22.73732758,20.42375565,65.88428497,56.81422806,20.42375565,34.53444672,11.70143604,11.70143604,26.94340134,26.94340134,28.04070282,42.79724884,65.88428497,39.03339767,83.31719208,50.20357895,2.42190671,2.847414017,2.925709963,5.539173603,6.225688934,5.329532623,15.67456913,48.05764389,14.31817722,16.63626099,10.19499397,13.28104782,39.31873322,75.84885406,19.33945084,17.32610703,25.11037445,17.47294044,14.88897991,13.93397713,22.0473175,21.67781639,11.70143604,19.40006447,16.09913826,73.75946045,11.08077431,29.37763214,67.24116516,52.07395172,20.42375565,14.05534554,22.56581116,22.73426247,22.73732758,28.87124443,53.1006546,54.47716522,15.78608704,34.53444672,22.16930962,26.48748779,24.68523788,59.742733,60.09819031,52.83199692,53.83967209,69.28619385,88.63782501,65.88428497,56.81422806,55.28860855,67.60890961,121.7297516,39.03339767,45.116539,42.79724884,29.34177971,42.98163223,62.78695297,83.31719208,69.99692535,26.94340134,31.695158,28.04070282,50.20357895
1996,3.699030161,3.958255053,12.49738884,18.8456707,17.97575188,17.84980011,18.92908859,8.218722343,44.6998024,26.88872337,8.13331604,12.49738884,23.36606789,10.44303989,41.72814941,56.26987076,10.44303989,42.36356354,9.113619804,9.113619804,15.73584843,15.73584843,39.60161591,69.87350464,41.72814941,51.65618134,62.55543518,30.91949844,6.477591515,4.628031731,6.27973032,3.699030161,7.469147682,5.061349392,11.06563282,16.34066963,2.827265263,3.958255053,8.962646484,10.06164074,12.9859314,27.49443436,3.656556606,3.846058369,6.506493568,5.255160332,3.354350328,8.218722343,18.92908859,18.8456707,9.113619804,17.84980011,12.49738884,33.42581558,4.142328739,17.97575188,53.43406677,70.44269562,10.44303989,12.79333305,8.13331604,14.12274456,23.36606789,44.6998024,58.06353378,65.30399323,26.88872337,42.36356354,49.07076645,38.01330566,51.62457657,50.32331467,24.33966446,48.08598328,54.97989655,44.74978256,29.03323364,41.72814941,56.26987076,57.36724091,77.81254578,115.1033096,51.65618134,77.63857269,69.87350464,29.72794151,37.17605209,46.81131363,62.55543518,64.97853088,15.73584843,37.53609467,39.60161591,30.91949844
1997,16.50116539,13.13553047,99.18889618,86.34170532,130.9990387,66.70275116,82.13582611,32.20383072,88.86468506,183.3215027,95.73764038,99.18889618,91.48220825,174.6820984,133.4267273,159.170639,174.6820984,153.7306671,49.78961563,49.78961563,178.9125824,178.9125824,121.2591782,168.9283295,133.4267273,164.7032928,138.0062103,143.6736603,6.053602219,7.062810421,5.509881973,16.50116539,10.75754166,28.25080681,45.45921707,84.82497406,11.95472622,13.13553047,22.5519104,41.24607849,62.63406754,110.3719711,21.28917313,11.87725735,38.54503632,19.8507309,35.13289261,32.20383072,82.13582611,86.34170532,49.78961563,66.70275116,99.18889618,125.9273911,47.14884567,130.9990387,170.3128052,194.1995239,174.6820984,146.6934814,95.73764038,120.4794922,91.48220825,88.86468506,116.391243,193.0112305,183.3215027,153.7306671,118.8491364,96.72934723,78.52000427,92.52940369,123.3232498,177.309433,146.431076,75.39719391,105.4587555,133.4267273,159.170639,142.2966919,97.51863861,91.43141937,164.7032928,216.3321686,168.9283295,83.34848022,104.9515381,155.9577637,138.0062103,161.0490875,178.9125824,113.8404541,121.2591782,143.6736603
1998,50.8431282,104.9419861,111.5463333,222.7612762,274.3927002,174.7475739,158.1477966,116.8738403,302.5171204,238.0268097,207.1188507,111.5463333,217.3039246,126.2162857,178.1966553,229.8716125,126.2162857,282.2119751,144.8425446,144.8425446,143.6384888,143.6384888,265.8204041,258.1846008,178.1966553,380.9191284,314.772644,344.2069397,26.51791382,26.28438187,27.1029644,50.8431282,37.4068222,106.1585159,64.53473663,153.5882568,70.3719635,104.9419861,113.3656006,146.812973,193.3559265,349.7819824,100.3262329,88.33842468,157.0983887,118.3404465,140.6403351,116.8738403,158.1477966,222.7612762,144.8425446,174.7475739,111.5463333,307.1000061,132.7350769,274.3927002,413.4331055,380.8130798,126.2162857,180.0935516,207.1188507,236.2941284,217.3039246,302.5171204,300.8474731,264.0516357,238.0268097,282.2119751,339.1989136,460.8890991,318.8962402,233.4355774,256.9108276,490.4217529,242.5930939,136.7160339,175.8180237,178.1966553,229.8716125,191.68367,155.7130737,193.7914581,380.9191284,219.6141815,258.1846008,189.4755402,302.9328003,395.655426,314.772644,226.8578644,143.6384888,259.7234497,265.8204041,344.2069397
1999,10.32073307,14.74672031,71.76143646,53.37519455,54.92743683,48.83796692,59.29719925,28.59137917,71.10775757,52.66041565,58.13087463,71.76143646,101.617485,127.5593338,141.2211914,206.9909363,127.5593338,109.3193512,42.44950867,42.44950867,51.62131882,51.62131882,85.18921661,179.6606598,141.2211914,92.61943054,132.4343414,82.06726837,11.18293381,9.962190628,11.75143051,10.32073307,12.28206444,23.68449211,34.96517563,72.50727081,16.9758358,14.74672031,23.28166962,26.16037178,61.23280716,91.09092712,19.34393501,14.37747955,37.87571716,18.28907013,36.13362503,28.59137917,59.29719925,53.37519455,42.44950867,48.83796692,71.76143646,106.6675644,41.03505325,54.92743683,106.9089127,120.195549,127.5593338,59.470047,58.13087463,84.96647644,101.617485,71.10775757,97.05994415,103.5048065,52.66041565,109.3193512,124.1653671,145.8218079,121.2524567,95.82223511,95.16814423,189.6015625,202.5940399,101.1606064,91.61790466,141.2211914,206.9909363,188.2075958,95.06197357,90.77128601,92.61943054,105.3918915,179.6606598,58.57580185,68.25280762,82.06191254,132.4343414,94.78390503,51.62131882,75.36882782,85.18921661,82.06726837
2000,13.55290699,23.51111603,27.10327911,74.58529663,97.21516418,70.5414505,45.15617371,34.04439545,155.3600464,30.98220253,28.53660965,27.10327911,45.64099121,23.06627274,100.6751022,114.8136597,23.06627274,41.62622833,30.74148369,30.74148369,29.92645645,29.92645645,20.37469292,75.04850769,100.6751022,56.20078659,78.87454987,49.10346985,26.31581116,12.38096523,11.03666401,13.55290699,15.89020729,36.3159256,45.06122971,60.45179367,18.68731308,23.51111603,18.62008858,31.97400475,46.12812042,79.16531372,32.70560074,10.0004425,24.31402206,14.98453331,20.56798363,34.04439545,45.15617371,74.58529663,30.74148369,70.5414505,27.10327911,52.58850098,18.26161003,97.21516418,80.97325897,76.23049927,23.06627274,38.55775452,28.53660965,45.59125137,45.64099121,155.3600464,191.3745117,109.1268921,30.98220253,41.62622833,44.98674393,98.36698151,185.3609467,184.8633575,107.557663,80.51898956,148.6043091,131.153244,73.76944733,100.6751022,114.8136597,155.9682922,143.3973541,87.51345062,56.20078659,85.55762482,75.04850769,23.54961586,19.13702393,43.52645111,78.87454987,63.51806641,29.92645645,16.79261589,20.37469292,49.10346985
